index_x,Country Code,Port Location,Port Name,Port Authority,Address,Phone,Fax,800 Number,Email,Web Site,Latitude,Longitude,UN/LOCODE,Port Type,Port Size,index_y,Country
14,DZA,Ghazaouet,Port of Ghazaouet,Enterprise Portuaire de Ghazaouet,"BP 217
Ghazaouet 13400
Algeria",213 43 323345,213 43 326255,,,,"35° 6' 14"" N","1° 51' 47"" W",DZGHA,Seaport,Small,,
15,DZA,Jijel,Port of Jijel,Entreprise Portuaire de Jijel,"BP 87
Jijel
Algeria",213 34 965334,,,,,"36° 49' 22"" N","5° 46' 27"" E",DZDJI,Harbor,Small,,
17,DZA,Mostaganem,Port of Mostaganem,Entreprise Portuaire de Mostaganem,"BP 131
Mostaganem 27000
Algeria",213 45 215938,213 45 217805,,,,"35° 56' 4"" N","0° 4' 26"" E",DZMOS,Harbor,Small,,
19,DZA,Port Methanier,Port Methanier,,"Port Methanier
Algeria",,,,,,"36° 53' 11"" N","6° 56' 28"" E",,Seaport,Small,,
21,DZA,Tenes,Port of Tenes,Entreprise Portuaire de Tenes,"BP 18
Tenes 02200
Algeria",213 27 767276,213 27 766589,,asiporttenes@yahoo.fr,,"36° 31' 26"" N","1° 19' 8"" E",DZTEN,Harbor,Small,,
23,AGO,Ambriz,Port of Ambriz,Ambriz Port Authority,"CP 30
Marine Port Authority
Cabinda
Angola",,,,,,"7° 50' 0"" S","13° 6' 4"" E",AOAZZ,"Pier, Jetty or Wharf",Very Small,,
24,AGO,Cabinda,Port of Cabinda,Autoridade Portuaria de Cabinda,"CP 68
Cabinda
Angola",244 231 222464,244 231 222464,,,,"5° 33' 0"" S","12° 11' 39"" E",AOCAB,"Pier, Jetty or Wharf",Very Small,,
25,AGO,Cavuge,Quinfuquena Terminal,,Angola,,,,,,"6° 19' 59"" S","12° 10' 0"" E",AOSOQ,Off-Shore Terminal,Very Small,,
26,AGO,Fouta,Takula Terminal,,Angola,,,,,,"5° 13' 0"" S","11° 46' 59"" E",AOTAK,Off-Shore Terminal,Very Small,,
27,AGO,Futila,Futila Terminal,,"Futila
Angola",,,,,,"5° 27' 0"" S","12° 10' 59"" E",,Off-Shore Terminal,Very Small,,
30,AGO,Malongo,Malongo Terminal,,"Malongo
Angola",,,,,,"5° 27' 34"" S","12° 1' 25"" E",AOMAL,Off-Shore Terminal,Very Small,,
31,AGO,Malongo,Port of Malongo,Cabinda Gulf Oil Company Ltd. (CABGOC),"Malongo
Angola",+244 2 391141,+244 2 391391,,amrmr@chevron.com,www.otal.com/angola,"5° 23' 48"" S","12° 11' 47"" E",AOMAL,"Pier, Jetty or Wharf",Very Small,,
32,AGO,Manga Grande,Lombo Marine Terminal,,Angola,,,,,,"6° 49' 59"" S","12° 22' 0"" E",,Off-Shore Terminal,Very Small,,
33,AGO,Namibe,Port of Namibe,Empresa Portuaria do Namibe,"CP 16
Namibe
Angola",244 222 390034,244 217 653435,,,www.otal.com/angola,"15° 11' 37"" S","12° 8' 12"" E",AOMSZ,Harbor,Small,,
34,AGO,Nzeto,Kiabo Marine Terminal,,Angola,,,,,,"7° 19' 59"" S","12° 34' 59"" E",,Off-Shore Terminal,Very Small,,
35,AGO,Nzeto,Kiame Marine Terminal,,"Nzeto
Angola",,,,,,"7° 19' 59"" S","12° 22' 59"" E",,Off-Shore Terminal,Very Small,,
36,AGO,Porto Amboim,Port of Porto Amboim,Porto Amboim Port Authority,"Porto Amboim
Angola",,,,,,"10° 44' 52"" S","13° 44' 4"" E",AOPBN,"Pier, Jetty or Wharf",Small,,
37,AGO,Quinzau,Palanca Terminal	,,Angola,,,,,,"6° 58' 0"" S","12° 24' 0"" E",AOPAT,Off-Shore Terminal,Very Small,,
38,AGO,Soyo,Port of Soyo,Fina Petroleos de Angola,"Soyo
Angola",+244 2 390148,+244 2 391031,,,www.otal.com/angola,"6° 7' 17"" S","12° 19' 21"" E",AOSZA,Harbor,Small,,
39,AIA,The Valley,Port of The Valley,,"The Valley
Anguilla",,,,,,"18° 11' 52"" N","63° 5' 36"" W",AIVAL,"Pier, Jetty or Wharf",Small,,
40,ATG,Saint John's,Saint John's Harbour,Antigua Port Authority,"Deep Water Harbour
P.O. Box 1052
St. John's, Antigua Island
Antigua and Barbuda",268-462-1144,268-462-1144,,anport@candw.ag,www.ab.gov.ag,"17° 7' 22"" N","61° 51' 13"" W",,Harbor,Small,,
47,ARG,Arroyo Seco,Port of Arroyo Seco,,"Arroyo Seco, Sante Fe
Argentina",,,,,,"33° 7' 27"" S","60° 30' 26"" W",,River Port,Small,,
48,ARG,Atucha,Port of Atucha,,"Atucha
Argentina",,,,,,"33° 57' 49"" S","59° 11' 51"" W",ARATU,River Port,Small,,
49,ARG,Bahia Blanca,Port of Bahia Blanca,Autoridad Portuaria del Puerto de Bahia Blanca,"Bahia Blanca City, Buenos Aires Province
Argentina",,,,,www.puertobahiablanca.com,"38° 47' 29"" S","62° 16' 24"" W",ARBHI,River Port,Small,,
50,ARG,Barranqueras,Port of Barranqueras,Av. Rio Parana s/n,"Barranqueras, Chaco 3503
Argentina",54 03722-480216,,,puertobqras@arnet.com.ar,www.consejoportuario.com.ar,"27° 29' 23"" S","58° 55' 32"" W",ARBQS,River Port,Small,,
52,ARG,Caleta Cordova,Port of Caleta Cordova,,"Caleta Cordova, Chubut
Argentina",,,,,,"45° 45' 3"" S","67° 22' 9"" W",,"Pier, Jetty or Wharf",Very Small,,
53,ARG,Caleta Olivares,Port of Caleta Olivares,,"Caleta Olivares
Argentina",,,,,,"45° 45' 55"" S","67° 22' 19"" W",,"Pier, Jetty or Wharf",Very Small,,
54,ARG,Caleta Olivia,Port of Caleta Olivia,,"Caleta Olivia, Santa Cruz
Argentina",,,,,,"46° 25' 59"" S","67° 30' 48"" W",ARCVI,Off-Shore Terminal,Very Small,,
55,ARG,Caletra Paula,Port of Caletra Paula,,"Zona Portuaria S/N
Caletra Paula, Santa Cruz 9011
Argentina",0297 4853342,0297 4853351,,pcpaula@sinectis.com.ar,www.scruz.gov.ar/puertos,"46° 28' 19"" S","67° 29' 49"" W",,Harbor,Small,,
56,ARG,Camarones,Port of Camarones,,"Zona Portuaria C.C. 9111
Rawson, Chubut 9103
Argentina",,,,juntprov@infovia.com.ar,www.consejoportuario.com.ar,"44° 48' 4"" S","65° 42' 33"" W",,"Pier, Jetty or Wharf",Very Small,,
57,ARG,Campana,Port of Campana,Administracion Portuaria Bonaerense,"Delegacian Parana Inferior (2804)
Campana
Argentina",(0054-3489)422890,,,,www.consejoportuario.com.ar,"34° 9' 12"" S","58° 57' 8"" W",ARCMP,River Port,Small,,
58,ARG,Comodoro Rivadavia,Port of Comodoro Rivadavia,,"Comodoro Rivadavia, Chubut
Argentina",,,,,,"45° 51' 21"" S","67° 27' 56"" W",ARCRD,Harbor,Small,,
59,ARG,Concepcion del Uruguay,Port of Concepcion del Uruguay,,"Concepcion del Uruguay, Entre Rios
Argentina",,,,,,"32° 29' 13"" S","58° 13' 17"" W",ARCOU,River Port,Small,,
60,ARG,Corrientes,Port of Corrientes,,"San Juan y Costanera
Corrientes, Corrientes
Argentina",54 03783476330,,,direcciondetransporteypuertos@wircomargentina.com.,www.consejoportuario.com.ar,"27° 27' 38"" S","58° 50' 7"" W",ARCNQ,River Port,Small,,
61,ARG,Cullen,Cullen Oil Terminal,,"Cullen, Tierra del Fuego
Argentina",,,,,,"52° 53' 46"" S","68° 20' 53"" W",,Off-Shore Terminal,Very Small,,
62,ARG,Diamante,Port of Diamante,,"Diamante, Entre Rios
Argentina",,,,,,"32° 3' 25"" S","60° 38' 41"" W",ARDME,River Port,Small,,
64,ARG,Formosa,Port of Formosa,,"Santa Fe e/ Brandan e Yrigoyen Zona Portuaria
Formosa, Formosa 3600
Argentina",03717 433055,,,,www.consejoportuario.com.ar,"26° 11' 55"" S","58° 8' 50"" W",ARFMA,River Port,Small,,
65,ARG,General Lagos,Port of General Lagos,,"General Lagos
Argentina",,,,,,"33° 4' 55"" S","60° 33' 1"" W",,River Port,Small,,
66,ARG,Ibicuy,Port of Ibicuy,Administracion Puerto Ibicuy,"Ente Autarquico Puerto Ibicuy
Ibicuy, Entre Rios 2846
Argentina",03446 498407,,,,www.consejoportuario.com.ar/puertos.aspx?id=38,"33° 45' 25"" S","59° 10' 41"" W",ARIBY,River Port,Small,,
67,ARG,Ingeniero Buitrango,Port of Ingeniero Buitrango,,"Ingeniero Buitrango
Argentina",,,,,,"33° 27' 9"" S","60° 2' 33"" W",,River Port,Small,,
69,ARG,Mar del Plata,Port of Mar del Plata,Administracion Portuaria Bonaerense,"Mar del Plata
Argentina",0223 4893099,,,consorcioportuariomdp@speedy.com.ar,www.consejoportuario.com.ar,"38° 2' 34"" S","57° 32' 0"" W",ARMDQ,Harbor,Small,,
70,ARG,Posadas,Port of Posadas,,"Alvear 423
Posadas, Misiones 3300
Argentina",03752 447505,,,,www.consejoportuario.com.ar,"27° 21' 40"" S","55° 53' 9"" W",ARPSS,River Port,Small,,
71,ARG,Puerto Acevedo,Puerto Acevedo,,"Puerto Acevedo
Argentina",,,,,,"33° 15' 9"" S","60° 17' 14"" W",,River Port,Small,,
72,ARG,Puerto Belgrano	,Puerto Belgrano	,,"Puerto Belgrano	
Argentina",,,,,,"38° 53' 40"" S","62° 6' 5"" W",ARPBG,Harbor,Small,,
74,ARG,Puerto Galvan,Puerto Galvan,,"Puerto Galvan
Argentina",,,,,,"38° 46' 59"" S","62° 18' 3"" W",ARPGV,Seaport,Small,,
75,ARG,Puerto Ingeniero White,Puerto Ingeniero White,,"Puerto Ingeniero White
Argentina",,,,,,"38° 47' 31"" S","62° 15' 56"" W",,Seaport,Small,,
76,ARG,Puerto Madryn,Puerto Madryn,Puerto Madryn Administracion Porturia,"Muelle Alte. Storni, Ruta Provincial No 1
Madryn, Chubut 9120
Argentina",02965 451-400,02965 458-914,,,www.appm.com.ar,"42° 44' 10"" S","65° 2' 0"" W",ARPMY,"Pier, Jetty or Wharf",Very Small,,
77,ARG,Puerto Martins,Puerto Martins,,"Puerto Martins
Argentina",,,,,,"33° 26' 38"" S","60° 3' 30"" W",,River Port,Very Small,,
79,ARG,Puerto Parana,Puerto Parana,,"Puerto Parana
Argentina",,,,,,"31° 42' 43"" S","60° 32' 2"" W",ARPRA,River Port,Small,,
80,ARG,Puerto Rosales,Port Coronel Rosales,Administracion Portuaria Bonaerense,"Casilla de Correo 14
Punta Alta, Buenos Aires 7109
Argentina",54 0232-430140,,,puertorosales@ciudad.com.ar,www.consejoportuario.com.ar,"38° 55' 26"" S","62° 4' 21"" W",,"Pier, Jetty or Wharf",Small,,
81,ARG,Puerto Santa Cruz,Puerto Santa Cruz,,"Santa Cruz
Argentina",,,,,,"50° 1' 11"" S","68° 31' 12"" W",ARRZA,"Pier, Jetty or Wharf",Very Small,,
82,ARG,Punta Colorada,Punta Colorada,,"Punta Colorada
Argentina",,,,,,"41° 41' 48"" S","65° 0' 59"" W",ARPCO,"Pier, Jetty or Wharf",Very Small,,
83,ARG,Punta Loyola,Punta Loyola,,"Punta Loyola
Argentina",,,,,,"51° 36' 40"" S","69° 0' 35"" W",ARPLO,"Pier, Jetty or Wharf",Small,,
84,ARG,Punta Quilla,Port of Punta Quilla,Zona Portuaria S/N,"Punta Quilla, Santa Cruz 9300
Argentina",02962 498323,02962 498147,,ptoptaquilla@santacruz.servisur.com.ar,www.scruz.gov.ar/puertos,"50° 7' 0"" S","68° 24' 38"" W",ARPQU,"Pier, Jetty or Wharf",Very Small,,
86,ARG,Ramallo,Port of Ramallo,,"Ramallo, Buenos Aires
Argentina",,,,,,"33° 28' 42"" S","59° 59' 42"" W",ARRAM,River Port,Small,,
87,ARG,Rawson,Port of Rawson,,"Avda. 9 de Julio 280
Rawson, Chubut 9103
Argentina",02965 481077,,,,www.consejoportuario.com.ar,"43° 20' 21"" S","65° 3' 34"" W",ARRWO,Harbor,Small,,
88,ARG,Rio Cullen,Rio Cullen Marine Terminal,,"Rio Cullen
Argentina",,,,,,"52° 53' 29"" S","68° 20' 20"" W",,Off-Shore Terminal,Very Small,,
89,ARG,Rio Gallegos,Port of Rio Gallegos,,"Gobernador Lista 395
Rio Gallegos, Santa Cruz 9400
Argentina",02966 422352,02966 429013,,uneposc@ar.inter.net,www.scruz.gov.ar/puertos,"51° 36' 42"" S","69° 13' 9"" W",ARRGL,"Pier, Jetty or Wharf",Very Small,,
91,ARG,Rosario,Puerto Rosario Ente Administrador (ENAPRO),Ente Administrador Port Rosary,"Av. Belgrano 341
Rosario 2000
Argentina",(0341) 4487105,(0341) 4485010,,,,"32° 58' 27"" S","60° 37' 6"" W",ARROS,River Port,Small,,
92,ARG,San Antonio Oeste,Port of San Antonio Oeste,,"San Antonio Oeste, Rio Negro
Argentina",,,,,,"40° 47' 53"" S","64° 53' 7"" W",AROES,"Pier, Jetty or Wharf",Very Small,,
93,ARG,San Julian,Port of San Julian,,"Sarmiento 200
San Julian, Santa Cruz 9310
Argentina",02962 452612,02962 452069,,puertopsj@videodata.com.ar,www.scruz.gov.ar/puertos,"49° 17' 59"" S","67° 43' 13"" W",ARULA,"Pier, Jetty or Wharf",Very Small,,
94,ARG,San Lorenzo,Port of San Lorenzo,,"San Lorenzo, Santa Fe
Argentina",,,,,,"32° 46' 21"" S","60° 43' 4"" W",ARSLO,River Port,Small,,
95,ARG,San Nicolas,Port of San Nicolas,Administracion Portuaria Bonaerense,"Ruta 188 y RivadaviaBuenos Aires 1900
Argentina",54 03461-460010,,,psn@intercom.com.ar,www.consejoportuario.com.ar,"33° 21' 36"" S","60° 9' 1"" W",,River Port,Small,,
96,ARG,San Pedro,Port of San Pedro,Administracion Portuaria Bonaerense,"Ruta 191 Km. 0
San Pedro, Buenos Aires 2930
Argentina",54 03329-425378,,,,www.consejoportuario.com.ar,"33° 41' 5"" S","59° 38' 29"" W",,River Port,Small,,
97,ARG,San Sebastian,Port of San Sebastian,,"San Sebastian, Tierra del Fuego
Argentina",,,,,,"53° 18' 42"" S","68° 15' 57"" W",ARSSN,Off-Shore Terminal,Very Small,,
99,ARG,Ushuaia,Port of Ushuaia,Direccion Provincial de Puertos,"Avenida Maipu 510
Ushuaia, Tierra del Fuego V9410BJL
Argentina",54 2901 435200,,,info@puertoushuaia.gov.ar,www.puertoushuaia.gov.ar,"54° 48' 34"" S","68° 18' 5"" W",ARUSH,Harbor,Small,,
100,ARG,Villa Constitucion,Port of Villa Constitucion,Ente Administrador Puerto Villa Constitucion,"Puerto de Cabotaje 2919
Villa Constitucion, Santa Fe 2919
Argentina",03400) 475012,,,eapvc@cablenet.com.ar,www.cablenet.com.ar/eapvc,"33° 13' 23"" S","60° 19' 27"" W",ARVCN,River Port,Small,,
101,ARG,Zarate,Port of Zarate,Administracion Portuaria Bonaerense,"Avda. Pagola 2007
Zarate, Buenos Aires 2800
Argentina",03487 429000,,,,www.consejoportuario.com.ar,"34° 5' 56"" S","59° 0' 28"" W",ARZAE,River Port,Small,,
102,ABW,Barcadera,Port of Barcadera,Aruba Ports Authority N.V.,"Port Administration Building
L.G. Smith Blvd. # 23
Oranjestad
Aruba",(297) 582-6633,(297) 583-2896,,,www.arubaports.com,"12° 28' 47"" N","69° 59' 51"" W",AWBAR,Harbor,Small,,
114,AUS,Abbot Point,Port of Abbot Point,North Queensland Bulk Ports Corporation Limited,"Level 24, 300 Queen Street
GPO Box 409
Brisbane, Queensland 4001
Australia",61 7 3224 7088,61 7 3224 71234,,info@nqbp.com.au,www.nqbp.com.au,"19° 52' 57"" S","148° 4' 39"" E",AUABP,"Pier, Jetty or Wharf",Very Small,,
116,AUS,Airlie Island,Port of Airlie Island,,"Airlie Island
Australia",,,,,,"21° 19' 24"" S","115° 10' 3"" E",AUAIR,"Pier, Jetty or Wharf",Very Small,,
117,AUS,Albany,Port of Albany,Albany Port Authority,"85 Brunswick Road
Albany, Western Australia 6330
Australia",61 8 9892 9000,61 8 9841 7566,,apa@albanyport.com.au,www.albanyport.com.au,"35° 1' 54"" S","117° 53' 19"" E",AUALH,Deepwater Seaport,Small,,
118,AUS,Ardossan,Port of Ardossan,ABB Grain,"Old Boat Ramp Road
Ardossan, South Australia 5571
Australia",08 8837 3306,08 8837 3639,,,abb.com.au,"34° 26' 16"" S","137° 55' 10"" E",AUARD,"Pier, Jetty or Wharf",Very Small,,
119,AUS,Ballast Head,Port of Ballast Head,Ballast Head Port Authority,"PO Box 58
c/o CSR Building Material
Rosewater East, SA 5013
Australia",61 8 8348 1400,61 8 8348 1423,,,,"35° 45' 26"" S","137° 48' 6"" E",AUBAH,"Pier, Jetty or Wharf",Very Small,,
120,AUS,Barrow Island,Port of Barrow Island,,"Barrow Island
Australia",,,,,,"20° 43' 33"" S","115° 28' 24"" E",AUBWB,"Pier, Jetty or Wharf",Very Small,,
121,AUS,Beauty Point,Beauty Point Harbour,,"Beauty Point
Australia",,,,,,"41° 9' 16"" S","146° 49' 23"" E",AULST,Harbor,Small,,
122,AUS,Bell Bay,Port of Bell Bay,Tasmanian Ports Corporation Pty Ltd,"Mobil Road, Bell Bay
PO Box 257C
Launceston, Tasmania 7250
Australia",61 3 6382 0111,61 3 6382 1695,,bellbay@tasports.com.au,www.tasports.com.au,"41° 8' 13"" S","146° 51' 36"" E",AUBEL,Seaport,Small,,
123,AUS,Bing Bong,Port of Bing Bong,,"Bing Bong
Australia",,,,,,"15° 37' 39"" S","136° 23' 21"" E",AUBBG,"Pier, Jetty or Wharf",Very Small,,
125,AUS,Bowen,Port of Bowen,,"Bowen
Australia",,,,,,"20° 1' 15"" S","148° 15' 3"" E",AUZBO,"Pier, Jetty or Wharf",Very Small,,
127,AUS,Broome,Port of Broome,,"401 Port Drive
PO Box 46
Broome, WA 6725
Australia",61 8 9192 1304,61 8 9192 1778,,info@broomeport.com,www.broomeport.com,"18° 0' 9"" S","122° 12' 52"" E",AUBME,"Pier, Jetty or Wharf",Very Small,,
128,AUS,Bunbury,Port of Bunbury,Bunbury Port Authority,"PO Box 4
Bunbury, WA 6231
Australia",+618 (08) 9721 2800,+618 (08) 9721 8253,,byport@byport.com.au,www.byport.com.au,"33° 18' 55"" S","115° 39' 7"" E",AUBUY,Seaport,Small,,
129,AUS,Bundaberg,Port of Bundaberg,Port of Brisbane Corporation,"45 Wharf Drive
Burnett Heads, QLD 4670
Australia",61 7 4130 2200,61 7 4159 4655,,info@portofbundaberg.com.au,www.portofbundaberg.com.au,"24° 46' 2"" S","152° 23' 29"" E",AUBDB,Seaport,Small,,
130,AUS,Burketown,Port of Burketown,Far North Queensland Ports Corporation Limited,"Cnr Grafton and Hartley Streets
Cairns, Queensland 4870
Australia",61 7 4052 3888,61 7 4052 3853,,enquiries@portsfnq.com.au,www.cairnsports.com.au,"17° 33' 13"" S","139° 44' 26"" E",,"Pier, Jetty or Wharf",Very Small,,
131,AUS,Burnie,Port of Burnie,Tasmanian Ports Corporation Pty Ltd,"19-20 Marine Terrace
PO Box 216
Burnie, Tasmania 7320
Australia",+61 3 6434 7300,+61 3 6434 7373,,burnie@tasports.com.au,www.tasports.com.au,"41° 3' 10"" S","145° 54' 46"" E",AUBWT,Harbor,Small,,
132,AUS,Busselton,Port of Busselton,,"Busselton
Australia",,,,,,"33° 38' 16"" S","115° 20' 25"" E",AUBUS,"Pier, Jetty or Wharf",Very Small,,
133,AUS,Cairns,Cairns Seaport,Far North Queensland Ports Corporation Limited,"Grafton & Hartley Streets
PO Box 594
Cairns, Queensland 4870
Australia",+61 7 40523888,+61 7 40521493,,enquiries@portsfnq.com.au,www.cairnsport.com.au,"16° 55' 47"" S","145° 46' 50"" E",AUCNS,Seaport,Small,,
134,AUS,Cape Cuvier,Port of Cape Cuvier,,"Cape Cuvier
Australia",,,,,,"24° 13' 19"" S","113° 23' 42"" E",AUCCU,"Pier, Jetty or Wharf",Very Small,,
135,AUS,Cape Flattery,Port of Cape Flattery,Far North Queensland Ports Corporation Limited,"Cnr Grafton and Hartley Streets
Cairns, Queensland 4870
Australia",61 7 4052 3888,61 7 4052 3853,,enquiries@portsfnq.com.au,www.cairnsports.com.au,"14° 59' 3"" S","145° 21' 10"" E",AUCQP,"Pier, Jetty or Wharf",Very Small,,
136,AUS,Cape Jervis,Port of Cape Jervis,,"Cape Jervis
Australia",,,,,,"35° 36' 21"" S","138° 5' 39"" E",,Harbor,Very Small,,
137,AUS,Carnarvon,Port of Carnarvon,,"Carnarvon
Australia",,,,,,"24° 53' 42"" S","113° 38' 54"" E",,Harbor,Small,,
138,AUS,Catherine Hill Bay,Port of Catherine Hill Bay,Coal Operations Australia Ltd,"Flowers Drive
Catherine Hill Bay, NSW 2285
Australia",61 2 4976 2799,61 2 4976 2609,,,,"33° 9' 36"" S","151° 37' 55"" E",AUCHB,"Pier, Jetty or Wharf",Very Small,,
139,AUS,Coffs Harbour,Coffs Harbour,,"Coffs Harbour
Australia",,,,,,"30° 18' 27"" S","153° 8' 46"" E",AUCFS,Harbor,Small,,
140,AUS,Cooktown,Port of Cooktown,Far North Queensland Ports Corporation Limited,"Cnr Grafton and Hartley Streets
Cairns, Queensland 4870
Australia",61 7 4052 3888,61 7 4052 3853,,enquiries@portsfnq.com.au,www.cairnsports.com.au,"15° 27' 35"" S","145° 14' 59"" E",,"Pier, Jetty or Wharf",Very Small,,
141,AUS,Crib Point,Port of Crib Point,,"Crib Point
Australia",,,,,,"38° 21' 45"" S","145° 13' 37"" E",,"Pier, Jetty or Wharf",Very Small,,
142,AUS,Currie,Port of Currie,Tasmanian Ports Corporation Pty Ltd,"48 Formby Road
PO Box 478
Devonport, Tasmania 7310
Australia",61 3 6421 4911,61 3 6421 4988,,secretary@tasports.com.au,www.tasports.com.au,"39° 55' 33"" S","143° 50' 28"" E",,"Pier, Jetty or Wharf",Very Small,,
143,AUS,Dampier,Port of Dampier,Dampier Port Authority,"PO Box 285
Dampier, Western Australia 6713
Australia",8 9159 6555,8 9159 6557,,info@dpa.wa.gov.au,www.dpa.wa.gov.au,"20° 38' 48"" S","116° 41' 42"" E",AUDAM,"Pier, Jetty or Wharf",Very Small,,
145,AUS,Derby,Port of Derby,,"Derby, Western Australia
Australia",,,,,,"17° 17' 32"" S","123° 36' 29"" E",,"Pier, Jetty or Wharf",Very Small,,
146,AUS,Devonport,Port of Devonport,Tasmanian Ports Corporation Pty Ltd,"48 Formby Road
PO Box 478
Devonport, Tasmania 7310
Australia",61 3 6421 4911,61 3 6421 4988,,secretary@tasports.com.au,www.tasports.com.au,"41° 11' 5"" S","146° 21' 53"" E",AUDPO,Harbor,Small,,
147,AUS,Dover,Dover Harbor,,"Dover
Australia",,,,,,"43° 19' 7"" S","147° 1' 21"" E",,"Pier, Jetty or Wharf",Very Small,,
148,AUS,Echuca,Port of Echuca,,"52 Murray Esplanade Echuca
Victoria 3564
Australia",+61 3 5482 4248,+61 3 5482 6951,,port@portofechuca.org.au,www.portofechuca.org.au,"36° 7' 7"" S","144° 44' 56"" E",AUECH,River Port,Very Small,,
149,AUS,Eden,Port of Eden,NSW Maritime Authority,"PO Box 137
Eden, New South Wales 2551
Australia",61 2 6496 1719,61 2 6496 3024,,edenpilot@maritime.nsw.gov.au,www.eden.nsw.gov.au,"37° 4' 19"" S","149° 54' 30"" E",AUQDN,Off-Shore Terminal,Small,,
150,AUS,Esperance,Esperance Port Authority,Esperance Port Authority,"PO Box 35
Esperance, Western Australia 6450
Australia",(08) 9071 2111,(08) 9071 1312,,esppa@esperanceport.com.au,www.esperanceport.com.au,"33° 52' 19"" S","121° 53' 57"" E",AUEPR,Seaport,Small,,
151,AUS,Exmouth,Port of Exmouth,,"Exmouth
Australia",,,,,,"21° 57' 17"" S","114° 8' 9"" E",AUPEX,Harbor,Very Small,,
153,AUS,Fisherman Islands,Port of Fisherman Islands,,"Fisherman Islands
Australia",,,,,,"27° 26' 41"" S","153° 4' 29"" E",AUFIS,Seaport,Small,,
156,AUS,George Town,Port of George Town,,"George Town
Australia",,,,,,"41° 6' 35"" S","146° 49' 20"" E",AUGEE,Harbor,Very Small,,
157,AUS,Geraldton,Port of Geraldton,Geraldton Port Authority,"298 Marine Terrace
Geraldton, WA 6530
Australia",61 8 99 640 520,61 8 99 640 555,,mail@gpa.wa.gov.au,www.gpa.wa.gov.au,"28° 46' 22"" S","114° 36' 4"" E",AUGET,Seaport,Small,,
159,AUS,Grassy,Port of Grassy,Tasmanian Ports Corporation Pty Ltd,"48 Formby Road
PO Box 478
Devonport, Tasmania 7310
Australia",61 3 6421 4911,61 3 6421 4988,,secretary@tasports.com.au,www.tasports.com.au,"40° 3' 53"" S","144° 3' 45"" E",AUGRA,Harbor,Very Small,,
160,AUS,Hastings,Port of Hastings,,"Hastings
Australia",,,,,,"38° 18' 24"" S","145° 13' 36"" E",AUHAS,Seaport,Small,,
161,AUS,Hay Point,Port of Hay Point,North Queensland Bulk Ports Corporation Limited,"Level 24, 300 Queen Street
GPO Box 409
Brisbane, Queensland 4001
Australia",61 7 3224 7088,61 7 3224 71234,,info@nqbp.com.au,www.nqbp.com.au,"21° 16' 6"" S","149° 18' 4"" E",,"Pier, Jetty or Wharf",Small,,
162,AUS,Hobart,Port of Hobart,Tasmanian Ports Corporation Pty Ltd,"GPO Box 202
Hobart, Tasmania 7001
Australia",+61 3 6235 1000,+61 3 6231 0693,,hobart@tasports.com.au,www.tasports.com.au,"42° 52' 49"" S","147° 20' 14"" E",AUHBA,Harbor,Small,,
